unix,low,high,open,close,volume,date,vol_fiat
1606521600,27.2045,41.3111,27.2045,38.3018,386871.79,2020-11-28,14817885.926221998
1606435200,25.9825,28.1802,28.1767,27.1996,35492.332,2020-11-27,965377.2334672001
1606348800,26.01,30.9489,29.4555,28.1768,64559.234,2020-11-26,1819072.6245712
1606262400,28.3442,33.0561,32.7926,29.4528,55864.554,2020-11-25,1645367.5360512
1606176000,32.25,34.6883,34.0559,32.7917,74176.689,2020-11-24,2432379.7326813
1606089600,31.6,38.85,32.6339,34.05,156580.742,2020-11-23,5331574.2650999995
1606003200,25.9447,41.9,27.1489,32.7011,276102.653,2020-11-22,9028860.466018299
1605916800,23.6663,29.75,23.9894,27.1,104333.898,2020-11-21,2827448.6358000003
1605830400,23.2578,24.23,23.8096,24.0599,25259.987,2020-11-20,607752.7612213
1605744000,23.4,24.4506,23.7718,23.7284,19698.286,2020-11-19,467408.8095224
1605657600,23.3546,24.8267,24.3485,23.7725,14943.091,2020-11-18,355234.6307975
1605571200,24.086,25.7499,24.086,24.3485,18834.74,2020-11-17,458597.66689000005
1605484800,23.6,24.8,24.0843,24.09,9624.898,2020-11-16,231863.79281999997
1605398400,23.2286,25.0,24.221,24.0843,24230.221,2020-11-15,583567.9116303
1605312000,23.7649,25.0071,24.8768,24.22,5150.977,2020-11-14,124756.66294
1605225600,23.2276,25.0232,23.6999,24.8768,16676.267,2020-11-13,414852.15890559996
1605139200,22.0,24.6996,24.6469,23.6732,16431.364,2020-11-12,388982.9662448001
1605052800,23.7603,26.5,24.5072,24.6492,37816.885,2020-11-11,932155.9617420001
1604966400,22.5,26.3,23.71,24.5187,26269.856,2020-11-10,644102.7183072
1604880000,22.5,25.5,23.2265,23.7418,24123.871,2020-11-09,572744.1205078
1604793600,22.655,23.89,22.806,23.2087,10316.797,2020-11-08,239439.44653390002
1604707200,22.0595,24.7571,24.1511,22.8454,30537.173,2020-11-07,697633.9320542
1604620800,20.25,25.7449,23.4415,24.1225,72706.091,2020-11-06,1753852.6801475
1604534400,21.3347,25.749,24.3517,23.5357,36406.203,2020-11-05,856845.4719471
1604448000,22.0,26.0,25.9999,24.3793,34658.9,2020-11-04,844959.72077
1604361600,22.9009,28.6,22.95,26.0,61459.277,2020-11-03,1597941.202
1604275200,22.9152,25.1805,23.3168,22.965,13637.272,2020-11-02,313179.95148
1604188800,23.0131,25.0901,23.2249,23.2809,15171.941,2020-11-01,353216.4412269
1604102400,22.7344,24.8818,24.2301,23.2607,17777.726,2020-10-31,413522.35116819997
1604016000,23.9259,25.0499,24.1146,24.2343,6149.431,2020-10-30,149027.1556833
1603929600,23.7989,25.8855,24.9466,24.1154,9336.693,2020-10-29,225158.0863722
1603843200,24.7622,25.6186,25.314,24.9645,7161.569,2020-10-28,178784.98930050002
1603756800,24.0,26.0097,26.0097,25.3175,8911.234,2020-10-27,225610.166795
